UNIQID,API,GIS_API5,GIS_WELL_NUMBER,SYMNUM,GIS_SYMBOL_DESCRIPTION,RELIAB,GIS_LOCATION_SOURCE,GIS_LAT27,GIS_LONG27,GIS_LAT83,GIS_LONG83,OBJECTID
1678408,32945216,45216,2932SH,4,Oil Well,40,Operator reported location - Distances and Plat,3312016.59120736,2306300.96456693,32.00696805,-102.24286946,148027
1679054,32945217,45217,2922SH,4,Oil Well,40,Operator reported location - Distances and Plat,3311973.30282152,2306169.50984252,32.00684151,-102.24329146,148032
1763714,32946145,46145,132,4,Oil Well,40,Operator reported location - Distances and Plat,3286950.20931758,2422656.97703412,31.94389092,-101.86544026,148581
1763768,32946155,46155,241,4,Oil Well,40,Operator reported location - Distances and Plat,3286791.93503937,2422002.10761155,31.94342458,-101.86754675,148582
1478100,32943281,43281,2207MH,4,Oil Well,40,Operator reported location - Distances and Plat,3252591.38418636,2330285.66371392,31.84465262,-102.16161299,148820
1591415,32944392,44392,252,2,Permitted Location,55,Coordinates - Operator reported,31.78627032,-102.02493726,31.78640035,-102.02534952,148843
1591416,32944393,44393,153,2,Permitted Location,55,Coordinates - Operator reported,31.78618569,-102.02531426,31.78631572,-102.02572652,148851
1345102,32941936,41936,4207H,4,Oil Well,40,Operator reported location - Distances and Plat,3320419.67486876,2360538.84383202,32.03302012,-102.06808664,149027
1470443,32943230,43230,745LS,4,Oil Well,40,Operator reported location - Distances and Plat,3253722.63287401,2356009.53215224,31.84910725,-102.07867642,149364
1679060,32945220,45220,3028SH,4,Oil Well,40,Operator reported location - Distances and Plat,3311562.20177165,2304811.3113517,32.00565376,-102.24766512,149539
1679421,32945226,45226,2835BX,4,Oil Well,40,Operator reported location - Distances and Plat,3313833.24343832,2313356.63517061,32.01236281,-102.22018487,149545
1591410,32944387,44387,232,2,Permitted Location,55,Coordinates - Operator reported,31.78733607,-102.02018348,31.78746609,-102.02059562,149591
1366609,32942306,42306,4313H,4,Oil Well,40,Operator reported location - Distances and Plat,3319001.49901575,2362942.25721785,32.02923827,-102.06023146,149621
1591411,32944388,44388,241,2,Permitted Location,55,Coordinates - Operator reported,31.78700601,-102.02165612,31.78713603,-102.02206829,149842
1591412,32944389,44389,142,2,Permitted Location,55,Coordinates - Operator reported,31.7868636,-102.0222912,31.78699363,-102.02270338,149843
1591414,32944391,44391,251,2,Permitted Location,55,Coordinates - Operator reported,31.78643201,-102.02421532,31.78656204,-102.02462755,149853
1480420,32943289,43289,1HM,4,Oil Well,40,Operator reported location - Distances and Plat,3239993.76082677,2323592.68733595,31.80957799,-102.18239268,156241
1480424,32943293,43293,5HM,4,Oil Well,40,Operator reported location - Distances and Plat,3240662.71587926,2326379.72801837,31.81157144,-102.17344667,156243
1472032,32943247,43247,301SH,4,Oil Well,40,Operator reported location - Distances and Plat,3300232.1866798,2324513.01049869,31.97553962,-102.18327084,156420
662973,32936268,36268,1302,7,Plugged Oil Well,40,Operator reported location - Distances and Plat,3327641.83825459,2326453.58891076,32.05112596,-102.17874553,156524
664767,32900041,00041,1,10,Plugged Oil / Gas,15,Commission`s hardcopy map,3313989.23293963,2416146.43307087,32.01806901,-101.88797004,157227
