county_label,county_role,county_fips,population,pep_population,median_household_income,households,median_home_value,fhfa_hpi_index_nsa,zillow_zhvi,building_permits_latest,building_permits_year,permits_per_1k_households,total_establishments,total_employment,total_annual_payroll,retail_establishments,retail_employment,retail_establishments_per_10k_pop,mean_aadt,max_aadt,p90_aadt,ntad_system_miles,rrc_well_count,blm_lease_count,blm_lease_acres,violent_crime_per_100k,property_crime_per_100k,burglary_per_100k,larceny_per_100k,general_location_score,score_population,score_income,score_growth,score_traffic,score_retail_density,score_crime
Dallas,urban_core,48113,2621179,2606358,76547,982737,303000,986.07,312651.6897203393,12691,2025,12.913933229338063,71182,1648702,131920641,7783,136741,29.692745134918294,50049.9,267131,148977.4,6247.855,,97,111829.1,34.6775,189.38666666666663,25.61916666666667,128.57583333333335,69.5,100.0,0.0,63.461208621576816,100.0,100.0,50.0
Tarrant,urban_core,48439,2167390,2182947,84207,782419,323900,882.23,325761.33063588734,13924,2025,17.796091352587297,47656,882289,55720111,6370,108314,29.390188198709044,40489.8,213306,124035.0,6414.345,,321,152901.9,34.6775,189.38666666666663,25.61916666666667,128.57583333333335,61.9,81.83072131943071,14.892872419022437,70.51054828197358,62.37010737790094,96.62670313771686,50.0
Collin,suburban_growth,48085,1163337,1195359,121600,416646,475600,851.85,488699.1060658416,19082,2025,45.79907163395305,31012,528596,42649306,3055,55568,26.26066221567783,32961.5,231767,97073.0,3599.089,,142,126401.3,34.6775,189.38666666666663,25.61916666666667,128.57583333333335,61.7,41.62939698794264,87.59380954232608,100.0,32.73766413704065,61.73469136875976,50.0
Denton,suburban_growth,48121,979561,1007703,111498,360392,437200,824.55,444147.3450248667,10210,2025,28.33026260294346,20025,280349,16590319,2030,34996,20.723569027350006,32839.3,162383,88440.0,3411.058,,325,118663.0,34.6775,189.38666666666663,25.61916666666667,128.57583333333335,39.3,34.27118125596081,67.95310495003305,49.2767709107541,32.25666782126776,0.0,50.0
Rockwall,exurban,48397,123617,131307,127981,41237,415500,572.66,417026.6991786743,1591,2025,38.581856100104275,2986,35020,1805753,321,6774,25.96730223189367,24644.3,84839,55385.0,531.749,,20,23999.9,34.6775,189.38666666666663,25.61916666666667,128.57583333333335,33.8,0.0,100.0,0.0,0.0,58.463934052080255,50.0
